rnaID,geneID,ENTREZ
rna26488,gene11505,406065
rna26489,gene11505,406065
rna26490,gene11505,406065
rna7104,gene2981,406066
rna19972,gene8669,406067
rna26183,gene11336,406068
rna26648,gene11577,406070
rna26649,gene11577,406070
rna26650,gene11577,406070
rna26651,gene11577,406070
rna3273,gene1367,406071
rna3274,gene1367,406071
rna3275,gene1367,406071
rna14424,gene6261,406072
rna14426,gene6261,406072
rna14425,gene6261,406072
rna14427,gene6261,406072
rna14428,gene6261,406072
rna14429,gene6261,406072
rna14430,gene6261,406072
rna14431,gene6261,406072
rna14432,gene6261,406072
rna14433,gene6261,406072
rna14434,gene6261,406072
rna14435,gene6261,406072
rna14436,gene6261,406072
rna14437,gene6261,406072
rna9682,gene4098,406073
rna9683,gene4098,406073
rna7352,gene3072,406074
rna13982,gene6066,406075
rna12283,gene5302,406076
rna27695,gene12093,406077
rna27696,gene12093,406077
rna27697,gene12093,406077
rna27698,gene12093,406077
rna27699,gene12093,406077
rna27700,gene12093,406077
rna27701,gene12093,406077
rna27702,gene12093,406077
rna26940,gene11725,406078
rna6408,gene2694,406079
rna6407,gene2694,406079
rna6409,gene2694,406079
rna6410,gene2694,406079
rna813,gene372,406080
rna814,gene372,406080
rna10842,gene4621,406081
rna9717,gene4121,406082
rna9718,gene4121,406082
rna13508,gene5867,406083
rna13509,gene5867,406083
rna16052,gene6951,406084
rna16053,gene6951,406084
rna16054,gene6951,406084
rna16055,gene6951,406084
rna8858,gene3747,406086
rna8859,gene3747,406086
rna8860,gene3747,406086
rna8861,gene3747,406086
rna8863,gene3747,406086
rna8862,gene3747,406086
rna8864,gene3747,406086
rna8137,gene3428,406088
rna19961,gene8661,406090
rna19969,gene8667,406091
rna19970,gene8667,406091
rna24173,gene10470,406092
rna24172,gene10470,406092
rna24171,gene10470,406092
rna24174,gene10470,406092
rna12550,gene5427,406093
rna9622,gene4070,406094
rna23259,gene10084,406095
rna23258,gene10084,406095
rna26773,gene11648,406096
rna26774,gene11648,406096
rna26775,gene11648,406096
rna26776,gene11648,406096
rna20687,gene8979,406097
rna20686,gene8979,406097
rna10119,gene4290,406098
rna20592,gene8935,406099
rna20591,gene8935,406099
rna20590,gene8935,406099
rna17885,gene7744,406100
rna17896,gene7749,406101
rna5289,gene2252,406102
rna17890,gene7746,406103
rna15594,gene6769,406104
rna24620,gene10668,406105
rna24621,gene10668,406105
rna21940,gene9502,406106
rna21941,gene9502,406106
rna21942,gene9502,406106
rna8223,gene3456,406107
rna8227,gene3456,406107
rna8224,gene3456,406107
rna8225,gene3456,406107
rna8226,gene3456,406107
rna22616,gene9817,406108
rna22617,gene9817,406108
rna17887,gene7745,406109
rna17886,gene7745,406109
rna17888,gene7745,406109
rna17889,gene7745,406109
rna2447,gene1033,406110
rna2448,gene1033,406110
rna26793,gene11654,406111
rna26794,gene11654,406111
rna26795,gene11654,406111
rna26796,gene11654,406111
rna23050,gene9983,406112
rna23051,gene9983,406112
rna23045,gene9983,406112
rna23046,gene9983,406112
rna23047,gene9983,406112
rna23048,gene9983,406112
rna23049,gene9983,406112
rna23052,gene9983,406112
rna4869,gene2108,406113
rna4870,gene2108,406113
rna24127,gene10449,406114
rna19965,gene8664,406116
rna19966,gene8664,406116
rna16223,gene7024,406117
rna1522,gene672,406118
rna1523,gene672,406118
rna1524,gene672,406118
rna1525,gene672,406118
rna22485,gene9745,406119
rna19202,gene8338,406120
rna19960,gene8660,406121
rna14172,gene6143,406122
rna14173,gene6143,406122
rna17628,gene7640,406123
rna13851,gene6007,406124
rna13852,gene6007,406124
rna13855,gene6007,406124
rna13853,gene6007,406124
rna13854,gene6007,406124
rna13859,gene6007,406124
rna13856,gene6007,406124
rna13857,gene6007,406124
rna13858,gene6007,406124
rna13860,gene6007,406124
rna13861,gene6007,406124
rna13862,gene6007,406124
rna13863,gene6007,406124
rna13864,gene6007,406124
rna13865,gene6007,406124
rna13866,gene6007,406124
rna17203,gene7428,406126
rna17204,gene7428,406126
rna18020,gene7791,406127
rna25645,gene11115,406128
rna9213,gene3880,406130
rna11584,gene4980,406131
